지역,2020_발생비,2021_발생비,2022_발생비,2023_발생비,2024_발생비
서울,3063.3,2712.8,2964.5,2953.5,3238.1
부산,3350.6,2997.8,3166.5,3231.7,3436.0
대구,2992.7,2847.1,2825.5,2807.4,2991.3
인천,2995.2,2597.5,2776.8,2930.2,3059.2
광주,3001.0,2732.5,2718.3,2963.4,3241.6
대전,3048.3,2753.1,3024.5,3004.2,3279.6
울산,2762.4,2593.2,2456.7,2705.5,2814.7
세종,1763.8,1596.4,1714.1,1967.0,2233.3
경기,2936.1,2633.5,2682.5,2774.3,3031.1
강원,2888.9,2573.5,2714.9,2825.8,2989.9
충북,2989.9,2716.7,2762.0,2668.2,2919.3
충남,2904.8,2558.6,2788.3,2887.5,3153.3
전북,2629.9,2442.8,2554.2,2629.6,2882.9
전남,2782.5,2639.7,2644.1,2766.2,2907.2
경북,2794.6,2495.7,2573.7,2660.3,2868.0
경남,2933.9,2651.6,2708.5,2784.7,2940.3
제주,4021.3,3770.2,3849.1,3974.2,4343.7
