지역,2020_발생건수,2020_구성비,2021_발생건수,2021_구성비,2022_발생건수,2022_구성비,2023_발생건수,2023_구성비,2024_발생건수,2024_구성비
서울,296178,19.2,257969,18.7,279507,19.5,277213,18.9,302174,19.1
부산,113652,7.4,100439,7.3,105057,7.3,106433,7.3,112239,7.1
대구,72373,4.7,67915,4.9,66786,4.7,66674,4.5,70703,4.5
인천,88143,5.7,76584,5.5,82397,5.7,87831,6.0,92420,5.8
광주,43517,2.8,39392,2.8,38900,2.7,42058,2.9,45656,2.9
대전,44623,2.9,39982,2.9,43736,3.0,43327,3.0,47199,3.0
울산,31381,2.0,29085,2.1,27286,1.9,29859,2.0,30907,2.0
세종,6276,0.4,5937,0.4,6575,0.5,7603,0.5,8725,0.6
경기,394226,25.6,357243,25.8,364534,25.4,378157,25.8,415106,26.2
강원,44571,2.9,39593,2.9,41715,2.9,43173,2.9,45380,2.9
충북,47864,3.1,43397,3.1,44055,3.1,42517,2.9,46452,2.9
충남,61612,4.0,54223,3.9,59196,4.1,61507,4.2,67372,4.3
전북,47446,3.1,43650,3.2,45199,3.2,46143,3.1,50125,3.2
전남,51519,3.3,48380,3.5,48062,3.3,49909,3.4,52005,3.3
경북,73762,4.8,65553,4.7,66928,4.7,67953,4.6,72601,4.6
경남,97998,6.4,87879,6.4,88852,6.2,90536,6.2,94925,6.0
제주,27129,1.8,25515,1.8,26103,1.8,26836,1.8,29119,1.8
계,1542270,100.0,1382736,100.0,1434888,100.0,1467729,100.0,1583108,100.0
